Noll_index,"n, m",Name,Coefficient_Âµm
1,"(0, 0)",Piston,21.265282648303767
2,"(1, 1)",Tilt X,53.89681461324527
3,"(1, -1)",Tilt Y,-40.16291169207224
4,"(2, 0)",Focus,-0.02879315096757951
5,"(2, -2)",Astigmatism 45,-3.883766746086933
6,"(2, 2)",Astigmatism 0,-1.4333227847114867
7,"(3, -1)",Coma Y,1.2134180728598543
8,"(3, 1)",Coma X,1.5526291565074943
9,"(3, -3)",Trefoil Y,-2.5313648279266703
10,"(3, 3)",Trefoil X,-0.6127275037283415
11,"(4, 0)",Spherical,0.0724944317577193
12,"(4, 2)",2nd Astig 0,0.5699849222632821
13,"(4, -2)",2nd Astig 45,0.9803900402123631
14,"(4, 4)",Tetrafoil 0,0.11646722985209251
15,"(4, -4)",Tetrafoil 22.5,-2.1959144643102526
16,"(5, 1)",2nd coma X,-0.7885679628746685
17,"(5, -1)",2nd coma Y,-0.32850539958228464
18,"(5, 3)",3rd Astig X,0.2615175070949664
19,"(5, -3)",3rd Astig Y,0.8201472211186633
20,"(5, 5)",Pentafoil X,0.29725772322536403
21,"(5, -5)",Pentafoil Y,-0.9203126019577414
22,"(6, 0)",5th order spherical,0.18499336729930693
23,"(6, -2)",Z23,-0.27653528346280215
24,"(6, 2)",Z24,-0.23981196570593966
25,"(6, -4)",Z25,0.8712684403890196
26,"(6, 4)",Z26,-0.10572597223296754
27,"(6, -6)",Z27,-0.44541587053312076
